% # columns=["iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=318474, Sun Nov 27 02:50:23 2016
0 1 1 0 0 0.999999863633 1.00000006483 0.999999825092 0.999999949741 0.999999862331 1.0000001567 1.00000006097 1.0000001522
1 11 0.963699209636 0 0 0.938832910311 0.962967761746 0.959551149534 0.952327421465 0.993608433945 0.972350309887 0.953981532658 0.940178181569
2 21 0.921859158547 0 0 0.894763822347 0.906802424296 0.909465941838 0.900583095274 0.932862379748 0.914473577287 0.923232976845 0.880609298474
3 31 0.824908097492 0 0 0.785340037027 0.795011890142 0.812619348582 0.786729300413 0.814843700062 0.800960861142 0.819718864554 0.77573369023
4 41 0.727310249352 0 0 0.67851042009 0.688781160569 0.698215595928 0.67889322922 0.708185612144 0.69212066473 0.713145178517 0.669428517427
5 51 0.677782057512 0 0 0.623205314034 0.628509962284 0.635050385556 0.635486426017 0.662275225471 0.65048859383 0.657459399895 0.608406428692
6 61 0.699118121719 0 0 0.664537733778 0.647911742096 0.661337163139 0.641501504395 0.67221245907 0.686374226045 0.669562196516 0.631708135569
7 71 0.625481761507 0 0 0.586927177253 0.571703891624 0.579339239368 0.563524943777 0.585845305214 0.607651768868 0.583660137974 0.560498180802
8 81 0.652487363923 0 0 0.613023998212 0.598671950535 0.59695696563 0.602056333567 0.631715676062 0.618339667429 0.615502596104 0.571703261538
9 91 0.608541620581 0 0 0.565057691414 0.567511419849 0.547366081809 0.583996908965 0.58417680864 0.568435670161 0.573555345016 0.528008868496
10 101 0.662681997554 0 0 0.635045390311 0.634962354985 0.600499042846 0.654157880897 0.622749371937 0.610696427798 0.635894892364 0.576226792453
11 111 0.67083055254 0 0 0.631052113346 0.637210331679 0.597059817643 0.653280156808 0.633492642365 0.60841334972 0.635635794609 0.614159875379
12 121 0.682782618005 0 0 0.64775568203 0.638877778369 0.630297412587 0.678736305667 0.63617114703 0.61563689878 0.643349771997 0.623958049034
13 131 0.650156708064 0 0 0.612991711879 0.592646321796 0.599436642437 0.670536425192 0.611552636232 0.578263217361 0.600439996725 0.589998742231
14 141 0.603912286686 0 0 0.575502203523 0.542506293267 0.54506136639 0.615662569795 0.56509802055 0.53406798414 0.552708078032 0.548553692039
15 151 0.518383139439 0 0 0.485228210465 0.459941226675 0.469013393958 0.522302931902 0.472776029165 0.457531819442 0.464847687108 0.463209841294
16 161 0.545936215099 0 0 0.537453189738 0.48712159119 0.508266482477 0.546675548573 0.492299683606 0.471505177614 0.504775348765 0.475953207661
17 171 0.51075855435 0 0 0.498248152364 0.447446486204 0.467031519312 0.501668887386 0.461309756434 0.445498553293 0.476105541288 0.440569112679
18 181 0.468718925527 0 0 0.44873743442 0.401142678551 0.421812672008 0.450607123292 0.416109371501 0.406540642019 0.433552345151 0.416068947101
19 191 0.445474492282 0 0 0.419183091882 0.377365757418 0.398891544424 0.435533315175 0.393690313939 0.389495367864 0.405308546922 0.392016920342
20 201 0.473386267215 0 0 0.444930622837 0.401426876398 0.428546835027 0.459429383144 0.413023692904 0.409743978433 0.440773854653 0.438063331097
